Ne	Na	Ac	V	Ca	P	Ma	Da	Am	Es
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1

Ne	Na	Ac	V	Ca	P	Ma	Da	Am	Es
0	0	0	0	0	0	0	0	0	0
0	1	0	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1

Ne	Na	Ac	V	Ca	P	Ma	Da	Am	Es
0	0	0	0	0	0	0	0	0	0
0	1	0	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1

Ne	Na	Ac	V	Ca	P	Ma	Da	Am	Es
0	0	0	0	0	0	0	0	0	0
0	1	0	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1

END
