Cn	Nw	An	V	P	Af	Dd	Am	St
1	1	1	1	0.0001	0.0001	0.0001	0.0001	0.0001
1	1	1	1	0.0001	0.0001	0.0001	1	0.0001
1	1	1	1	0.0001	0.0001	1	1	1
1	1	1	1	0.0001	0.0001	1	1	0.0001
0.0001	0.0001	0.0001	0.0001	1	1	1	1	1
0.0001	0.0001	0.0001	0.0001	1	1	1	1	1
0.0001	0.0001	1	1	1	1	1	1	1
0.0001	1	1	1	1	1	1	1	1
0.0001	0.0001	1	0.0001	1	1	1	1	1

Cn	Nw	An	V	P	Af	Dd	Am	St
1	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0001	1	1	1	0.0001	0.0001	0.0001	1	0.0001
0.0001	1	1	1	0.0001	0.0001	1	1	1
0.0001	1	1	1	0.0001	0.0001	1	1	0.0001
0.0001	0.0001	0.0001	0.0001	1	1	1	1	1
0.0001	0.0001	0.0001	0.0001	1	1	1	1	1
0.0001	0.0001	1	1	1	1	1	1	1
0.0001	1	1	1	1	1	1	1	1
0.0001	0.0001	1	0.0001	1	1	1	1	1

Cn	Nw	An	V	P	Af	Dd	Am	St
1	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0001	1	1	1	0.0001	0.0001	0.0001	1	0.0001
0.0001	1	1	1	0.0001	0.0001	1	1	1
0.0001	1	1	1	0.0001	0.0001	1	1	0.0001
0.0001	0.0001	0.0001	0.0001	1	1	1	1	1
0.0001	0.0001	0.0001	0.0001	1	1	1	1	0.0001
0.0001	0.0001	1	1	1	1	1	1	1
0.0001	1	1	1	1	1	1	1	1
0.0001	0.0001	1	0.0001	1	0.0001	1	1	1

Cn	Nw	An	V	P	Af	Dd	Am	St
1	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0001	1	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0001	0.0001	1	1	0.0001	0.0001	1	1	1
0.0001	0.0001	1	1	0.0001	0.0001	1	1	0.0001
0.0001	0.0001	0.0001	0.0001	1	1	1	1	1
0.0001	0.0001	0.0001	0.0001	1	1	1	1	0.0001
0.0001	0.0001	1	1	1	1	1	1	1
0.0001	0.0001	1	1	1	1	1	1	1
0.0001	0.0001	1	0.0001	1	0.0001	1	1	1

END
